 1.390000000000000e-10,  0.000000000000000e+00, 0.000000000000000e+00, 7.000000000000001e-11
 6.950000000000002e-11,  1.203775311260370e-10, 0.000000000000000e+00, 7.000000000000001e-11
-6.949999999999998e-11,  1.203775311260370e-10, 0.000000000000000e+00, 7.000000000000001e-11
-1.390000000000000e-10,  0.000000000000000e+00, 0.000000000000000e+00, 7.000000000000001e-11
-6.950000000000007e-11, -1.203775311260369e-10, 0.000000000000000e+00, 7.000000000000001e-11
 6.949999999999990e-11, -1.203775311260370e-10, 0.000000000000000e+00, 7.000000000000001e-11
 2.480000000000000e-10,  0.000000000000000e+00, 0.000000000000000e+00, 2.500000000000001e-11
 1.240000000000000e-10,  2.147743001385408e-10, 0.000000000000000e+00, 2.500000000000001e-11
-1.240000000000000e-10,  2.147743001385408e-10, 0.000000000000000e+00, 2.500000000000001e-11
-2.480000000000000e-10,  0.000000000000000e+00, 0.000000000000000e+00, 2.500000000000001e-11
-1.240000000000001e-10, -2.147743001385407e-10, 0.000000000000000e+00, 2.500000000000001e-11
 1.239999999999998e-10, -2.147743001385409e-10, 0.000000000000000e+00, 2.500000000000001e-11
